game	M1_v0.7.8a6	10yard	\N	\N	\N	\N	\N	10-Yard Fight (World) [sound only]	1983	Irem	\N	\N	Irem M62	
game_rom	M1_v0.7.8a6	thnderxa	873-h01.f8	\N	\N	32768	990b7a7c	0965e7350c6006a9652cea0f24d836b4979910fd	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	thndrbld	\N	\N	\N	\N	\N	Thunder Blade (upright, FD1094 317-0056) [sound only]	1987	Sega	\N	\N	Turbo OutRun + X Board	
game_rom	M1_v0.7.8a6	thndrbld	epr-11396.ic17	\N	\N	65536	d37b54a4	c230fe7241a1f13ca13506d1492f348f506c40a7	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	thndrbld	epr-11317.ic11	\N	\N	131072	d4e7ac1f	ec5d6e4949938adf56e5613801ae56ff2c3dede5	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	thndrbld	epr-11318.ic12	\N	\N	131072	70d3f02c	391aac2bc5673e06150de27e19c7c6359da8ca82	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	thndrbld	epr-11319.ic13	\N	\N	131072	50d9242e	a106371bf680c3088ec61f07fc5c4ce467973c15	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	thndrx2	\N	\N	\N	\N	\N	Thunder Cross II (Japan) [sound only]	1991	Konami	\N	\N	Parodius	
game_rom	M1_v0.7.8a6	thndrx2	073-c01.4f	\N	\N	65536	44ebe83c	9274df6affa4f0456d273ff3aa1bda7d2a20416e	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	thndrx2	073-b04.2d	\N	\N	524288	05287a0b	10784b8be6a93a5ebf22a884f99c116e51ae8743	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	thndzone	\N	\N	\N	\N	\N	Thunder Zone (World) [sound only]	1991	Data East Corporation	\N	\N	Crude Buster	
game_rom	M1_v0.7.8a6	thndzone	gs04	\N	\N	65536	81c29ebf	1b241277a8e35cdeaeb120970d14a09d33032459	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	thndzone	gs07	\N	\N	131072	750b7e5d	d33b17a1d8c9b05d5c1daf0c80fed6381e04b167	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	thndzone	maj-03	\N	\N	524288	31dcfac3	88c7fc139f871991defbc8dc2c9c66b150dd6f6f	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	thrilld	\N	\N	\N	\N	\N	Thrill Drive [sound only]	1998	Konami	\N	\N	Konami Hornet	
game_rom	M1_v0.7.8a6	thrilld	713a08.7s	\N	\N	524288	6a72a825	abeac99c5343efacabcb0cdff6d34f9f967024db	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	thrilld	713a09.16p	\N	\N	4194304	058f250a	63b8e60004ec49009633e86b4992c00083def9a8	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	thrilld	713a10.14p	\N	\N	4194304	27f9833e	1540f00d2571ecb81b914c553682b67fca94bbbd	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	thunderh	\N	\N	\N	\N	\N	Operation Thunder Hurricane (ver UAA) [sound only]	1996	Konami	\N	\N	GTI Club	
game_rom	M1_v0.7.8a6	thunderh	680a07.13k	\N	\N	524288	12247a3e	846cd9423efd3c9b17fce08393c6c83307d72f92	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	thunderh	680a09.9s	\N	\N	2097152	71c2b049	ce360172c8774b31edf16a80104c35b1caf26cd9	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	thunderh	680a10.7s	\N	\N	2097152	19882bf3	7287da58853c84cbadbfb42bed37f2b0032c4b4d	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	thunderh	680a11.5s	\N	\N	2097152	0c74fe3f	2e69f8d37552a74bbda65b134f747b4380ed33b0	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	thunderh	680a12.2s	\N	\N	2097152	b052919d	a61c8eaf378ab7d780478db61217302d1b9f8f73	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	thunderj	\N	\N	\N	\N	\N	ThunderJaws [sound only]	1990	Atari Games	\N	\N	JSA-2	
game_rom	M1_v0.7.8a6	thunderj	136076-2015.1b	\N	\N	65536	d8feb7fb	684ebf2f0c0df742c98e7f45f74de86a11c8d6e8	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	thunderj	136076-1016.7k	\N	\N	65536	c10bdf73	a0371c6ddef2a95193c68879044b3338d481fc96	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	thunderj	136076-1017.7j	\N	\N	65536	4e5e25e8	373c946abd24ce8dd5221f1a0409af4537610d3d	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	thunderj	136076-1018.7e	\N	\N	65536	ec81895d	56acffb0700d3b70ca705fba9d240a82950fd320	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	thunderj	136076-1019.7d	\N	\N	65536	a4009037	01cd3f4cf510f4956258f39f3ddbb42628bc2b9a	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	thunderx	\N	\N	\N	\N	\N	Thunder Cross [sound only]	1988	Konami	\N	\N	Thunder Cross	
game_rom	M1_v0.7.8a6	thunderx	873-f01.f8	\N	\N	32768	ea35ffa3	91e82b77d4f3af8238fb198db26182bebc5026e4	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	thundfox	\N	\N	\N	\N	\N	Thunder Fox (World) [sound only]	1990	Taito Corporation Japan	\N	\N	Taito AIR/B/Dual68k/H/F2 Systems	
game_rom	M1_v0.7.8a6	thundfox	c28-14.3	\N	\N	65536	45ef3616	97bf1de7fd32a378839df1845f7522dae776d997	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	thundfox	c28-05.42	\N	\N	524288	d3b238fa	b4a0cdd7174e60527e7a47018d6117adc5518da1	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	thundfox	c28-06.41	\N	\N	524288	db6983db	b72541aa35c48624478060e7453f01956ff1ceb2	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	tigerh	\N	\N	\N	\N	\N	Tiger Heli (US) [sound only]	1985	Taito America Corp.	\N	\N	Tiger Heli	
game_rom	M1_v0.7.8a6	tigerh	a47_03.bin	\N	\N	8192	d105260f	f6a0e393e29354bb37fb723828f3267d030a45ea	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	tigeroad	\N	\N	\N	\N	\N	Tiger Road (US) [sound only]	1987	Capcom (Romstar license)	\N	\N	Tiger Road	
game_rom	M1_v0.7.8a6	tigeroad	tru05.bin	\N	\N	32768	f9a7c9bf	4d37c71aa6523ac21c6e8b23f9957e75ec4304bf	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	timber	\N	\N	\N	\N	\N	Timber [sound only]	1984	Bally Midway	\N	\N	Bally/Midway Super Sound I/O	
game_rom	M1_v0.7.8a6	timber	tima7.bin	\N	\N	4096	c615dc3e	664d5e3ac3936fd04a855ee0c88f1c1b4d1dea5b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	timber	tima8.bin	\N	\N	4096	83841c87	bd5a2e567e015e10e45651e15b42ffb3b69d2305	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	timber	tima9.bin	\N	\N	4096	22bcdcd3	69cedc8cec52ca310f828dfe73d7de04729b06d3	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	timecris	\N	\N	\N	\N	\N	Time Crisis (Rev. TS2 Ver.B) [sound only]	1995	Namco	\N	\N	Namco Super System 22	
game_rom	M1_v0.7.8a6	timecris	ts1data.8k	\N	\N	524288	e68aa973	663e80d249be5d5841139d98a9d72e2396851272	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	timecris	ts1wavea.2l	\N	\N	4194304	d1123301	4bf1fd746fef4e6befa63c61a761971d729e1573	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	timecris	ts1waveb.1l	\N	\N	2097152	bf4d7272	c7c7b3620e7b3176644b6784ee36e679c9e31cc1	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	timecrs2	\N	\N	\N	\N	\N	Time Crisis 2 [sound only]	1997	Namco	\N	\N	Namco System 12	
game_rom	M1_v0.7.8a6	timecrs2	tss1wavel.2c	\N	\N	8388608	deaead26	72dac0c3f41d4c3c290f9eb1b50236ae3040a472	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	timecrs2	tss1waveh.2a	\N	\N	8388608	5c8758b4	b85c8f6869900224ef83a2340b17f5bbb2801af9	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	timecrs2	tss3verb.3	\N	\N	524288	41e41994	eabc1a307c329070bfc6486cb68169c94ff8a162	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	timekill	\N	\N	\N	\N	\N	Time Killers (v1.32) [sound only]	1992	Strata/Incredible Technologies	\N	\N	ITech32 (hw rev 1)	
game_rom	M1_v0.7.8a6	timekill	tksndv41.u17	\N	\N	131072	c699af7b	55863513a1c27dcb257dbc20e522cfafa9b92c9d	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	timekill	tksrom00.u18	\N	\N	524288	79d8b83a	78934b4d0ccca8fefcf8277e4296eb1d59cd575b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	timekill	tksrom01.u20	\N	\N	524288	ec01648c	b83c66cf22db5d89b9ed79b79861b79429d8380c	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	timekill	tksrom02.u26	\N	\N	524288	051ced3e	6b63c4837e709806ffea9a37d93933635d356a6e	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	timeplt	\N	\N	\N	\N	\N	Time Pilot [sound only]	1982	Konami	\N	\N	Time Pilot	
game_rom	M1_v0.7.8a6	timeplt	tm7	\N	\N	4096	d66da813	408fca4515e8af84211df3e204c8776b2f8adb23	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	timescan	\N	\N	\N	\N	\N	Time Scanner (set 2, System 16B) [sound only]	1987	Sega	\N	\N	System 16 (sound type 3)	
game_rom	M1_v0.7.8a6	timescan	epr10562.a7	\N	\N	32768	3f5028bf	02081569a5f4dc64771e97651a9902a98d54a952	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	timescan	epr10563.a8	\N	\N	32768	9db7eddf	8b9a27442a623bee6b9b5b06275226734d132e17	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	timetunl	\N	\N	\N	\N	\N	Time Tunnel [sound only]	1982	Taito Corporation	\N	\N	Taito SJ System	
game_rom	M1_v0.7.8a6	timetunl	un19.70	\N	\N	4096	dbf726c6	0c38cf641e23f98a885c20bf4e371b1af9660175	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	tinklpit	\N	\N	\N	\N	\N	Tinkle Pit (Japan) [sound only]	1993	Namco	\N	\N	Namco NA-1/2	
game_rom	M1_v0.7.8a6	tinklpit	tk1-ep0l.bin	\N	\N	524288	fdccae42	398384482ccb3eb08bfb9db495513272a5188d92	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tinklpit	tk1-ep0u.bin	\N	\N	524288	62cdb48c	73c7b99b117b8dc567bc254b0ffcc117c9d42fb5	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tinklpit	tk1-ma2l.bin	\N	\N	1048576	087311d2	6fe50f9e08551e57d15a15b01e3822a6cb7c8352	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tinklpit	tk1-ma2u.bin	\N	\N	1048576	5ce20c2c	7eaff21714bae44f8b21b6db98f055e04bfbae18	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tinklpit	c69.bin	\N	\N	16384	349134d9	61a4981fc2716c228b6121fedcbf1ed6f34dc2de	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	tinstar	\N	\N	\N	\N	\N	The Tin Star (set 1) [sound only]	1983	Taito Corporation	\N	\N	Taito SJ System	
game_rom	M1_v0.7.8a6	tinstar	ts.70	\N	\N	4096	4771838d	f84f1367f8a86e6c070da29419c8de5c302d1469	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tinstar	ts.71	\N	\N	4096	03c91332	3903e876ae02e9aea7ee6854bb4c6407dd7108d6	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tinstar	ts.72	\N	\N	4096	beeed8f3	2a18edecabbfd10b3238338cb5554edc8c18d93c	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	titlef	\N	\N	\N	\N	\N	Title Fight (World) [sound only]	1992	Sega	\N	\N	System 32 Multi	
game_rom	M1_v0.7.8a6	titlef	epr-15384.ic31	\N	\N	131072	0f7d208d	5425120480f813210fae28951e8bfd5acb08ca53	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	titlef	mpr-15385.ic1	\N	\N	2097152	5a9b0aa0	d208aa165f9eea05e3b8c3f406ff44374e4f6887	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	tkdensho	\N	\N	\N	\N	\N	Touki Denshou -Angel Eyes- [sound only]	1996	Tecmo	\N	\N	Tecmo System	
game_rom	M1_v0.7.8a6	tkdensho	aesprg-2.z1	\N	\N	131072	43550ab6	2580129ef8ebd9295249175de4ba985c752e06fe	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tkdensho	ae400t23.ya1	\N	\N	2097152	c6ffb043	e0c6c5f6b840f63c9a685a2c3be66efa4935cbeb	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tkdensho	ae401t24.yb1	\N	\N	2097152	d83f1a73	412b7ac9ff09a984c28b7d195330d78c4aac3dc5	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tkdensho	ae500w07.ad1	\N	\N	524288	3734f92c	048555b5aa89eaf983305c439ba08d32b4a1bb80	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	tkmmpzdm	\N	\N	\N	\N	\N	Tokimeki Memorial Taisen Puzzle-dama (ver JAB) [sound only]	1995	Konami	\N	\N	System GX	
game_rom	M1_v0.7.8a6	tkmmpzdm	515a04.9c	\N	\N	131072	a9b7bb45	ad11a7b5c24a03658ff4309dbd8c7334f4adf7b4	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tkmmpzdm	515a05.7c	\N	\N	131072	dea4ca2f	5d11469a93293381228233baad6896e098994d9b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tkmmpzdm	515a13.9g	\N	\N	2097152	4b066b00	874dd49847b10e6d9c39decb81557534baa36d79	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tkmmpzdm	515a14.7g	\N	\N	2097152	128cc944	b0cd2ec1b9a2ac936d57b6d6c2a70f9c13dc97a5	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	tmnt	\N	\N	\N	\N	\N	Teenage Mutant Ninja Turtles (World 4 Players) [sound only]	1989	Konami	\N	\N	TMNT	
game_rom	M1_v0.7.8a6	tmnt	963e20.g13	\N	\N	32768	1692a6d6	68c3419012b2863e91a7d7e479fce5ceabb10b88	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tmnt	963a26.c13	\N	\N	131072	e2ac3063	5bb294c46fb5eaba9935a18c0aa5d3931168f474	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tmnt	963a27.d18	\N	\N	131072	2dfd674b	bbec5896c70056964fbc972a84bd5b0dfc6af257	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tmnt	963a25.d5	\N	\N	524288	fca078c7	3e1124d72c9db4cb11d8de6c44b7aeca967f44e1	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	tmnt2	\N	\N	\N	\N	\N	Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver UAA) [sound only]	1991	Konami	\N	\N	Sunset Riders	
game_rom	M1_v0.7.8a6	tmnt2	063b01	\N	\N	65536	364f548a	e0636e27d4fc48b2ccb1417b63d2b68d9e272c06	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tmnt2	063b06	\N	\N	2097152	1e510aa5	02b9bd6bb6b098026a620e4d671c40a31ad9e318	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	tnzsj	\N	\N	\N	\N	\N	The NewZealand Story (Japan) [sound only]	1988	Taito Corporation	\N	\N	The New Zealand Story	
game_rom	M1_v0.7.8a6	tnzsj	b53-11.38	\N	\N	65536	9784d443	bc3647aac9974031dbe4898417fbaa99841f9548	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	todruaga	\N	\N	\N	\N	\N	Tower of Druaga (New Ver.) [sound only]	1984	Namco	\N	\N	Mappy	
game_rom	M1_v0.7.8a6	todruaga	td1_4.1k	\N	\N	8192	ae9d06d9	3d8621fdd74fafa61f342886faa37f0aab50c5a7	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	todruaga	td1-3.3m	\N	\N	256	07104c40	16db55525034bacb71e7dc8bd2a7c3c4464d4808	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	toki	\N	\N	\N	\N	\N	Toki (World set 1) [sound only]	1989	Tad	\N	\N	Raiden	
game_rom	M1_v0.7.8a6	toki	tokijp.008	\N	\N	8192	6c87c4c5	d76822bcde3d42afae72a0945b6acbf3c6a1d955	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	toki	tokijp.007	\N	\N	65536	a67969c4	99781fbb005b6ba4a19a9cc83c8b257a3b425fa6	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	toki	tokijp.009	\N	\N	131072	ae7a6b8b	1d410f91354ffd1774896b2e64f20a2043607805	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	tokio	\N	\N	\N	\N	\N	Tokio / Scramble Formation [sound only]	1986	Taito Corporation	\N	\N	Tokio	
game_rom	M1_v0.7.8a6	tokio	a71-07.10	\N	\N	32768	f298cc7b	ebf5c804aa07b7f198ec3e1f8d1e111cd89ebdf3	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	tokisens	\N	\N	\N	\N	\N	Toki no Senshi - Chrono Soldier [sound only]	1987	Sega	\N	\N	Sega System 1/2	
game_rom	M1_v0.7.8a6	tokisens	epr10967.126	\N	\N	32768	97966bf2	b5a3d36afbb3d6e2e2e2c121609a30dc080ccf13	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	tokkae	\N	\N	\N	\N	\N	Taisen Tokkae-dama (ver JAA) [sound only]	1996	Konami	\N	\N	System GX	
game_rom	M1_v0.7.8a6	tokkae	615a08.9c	\N	\N	131072	a5340de4	96d74624f44423e57fe8fcecadecdd76d91c27bc	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tokkae	615a09.7c	\N	\N	131072	c61f954c	5242a2872db1db9ab4edd9951c2ac2d872f06dc7	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tokkae	615a22.9g	\N	\N	2097152	ea7e47dd	5bf5bad9427b083757c400eaf58c63a6267c1caf	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tokkae	615a23.7g	\N	\N	2097152	22d71f36	3f24bb4cd8e1d693b42219e05960ad0c756b08cb	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	tom_13	\N	\N	\N	\N	\N	Theatre Of Magic (1.3X) (pinball) [sound only]	1995	Bally	\N	\N	Midway Digital Compressed Sound (DCS)	
game_rom	M1_v0.7.8a6	tom_13	tm_u2_s.l2	\N	\N	524288	b128fbba	59101f9f4f43c240630dfbdc7fb432a9939f122d	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tom_13	tm_u3_s.l2	\N	\N	524288	128c7d3c	1bd5b56d3f9c8485498746ae6c4d65a1e053161a	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tom_13	tm_u4_s.l2	\N	\N	524288	3d9b2354	a39917c0cceda33288594652c47fd0385a85b8b1	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tom_13	tm_u5_s.l2	\N	\N	524288	44247b60	519b9d6eab4fe05676382c5f99ea87d4f7a12c5e	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tom_13	tm_u6_s.l2	\N	\N	524288	f366bbe5	aca23649a54521748e90aa9a182b9bbdde126409	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tom_13	tm_u7_s.l2	\N	\N	524288	f98e9e38	bf8c204cfbbf5f9d59b7ad03d1784d37c638712c	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	tomy_400	\N	\N	\N	\N	\N	Tommy (4.00) (pinball) [sound only]	1994	Data East	\N	\N	Tattoo Assassins	
game_rom	M1_v0.7.8a6	tomy_400	tommysnd.u7	\N	\N	65536	ab0b4626	31237b4f5e866710506f1336e3ca2dbd6a89385a	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tomy_400	tommysnd.u17	\N	\N	524288	11bb2aa7	57b4867c109996861f45ead1ceedb7153aff852e	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tomy_400	tommysnd.u21	\N	\N	524288	bb4aeec3	2ac6cd25b79584fa6ad2c8a36c3cc58ab8ec0206	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tomy_400	tommysnd.u36	\N	\N	524288	208d7aeb	af8af2094d1a91c7b4ef8ac6d4f594728e97450f	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tomy_400	tommysnd.u37	\N	\N	524288	46180085	f761c27532180de313f23b41f02341783be8938b	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	toobin	\N	\N	\N	\N	\N	Toobin' (rev 3) [sound only]	1988	Atari Games	\N	\N	JSA-1	
game_rom	M1_v0.7.8a6	toobin	1141-2k.061	\N	\N	65536	c0dcce1a	285c13f08020cf5827eca2afcc2fa8a3a0a073e0	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	tophuntr	\N	\N	\N	\N	\N	Top Hunter - Roddy and Cathy (set 1) [sound only]	1994	SNK	\N	\N	Neo Geo	
game_rom	M1_v0.7.8a6	tophuntr	046-m1.bin	\N	\N	131072	3f84bb9f	07446040871d11da3c2217ee9d1faf8c3cae7420	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tophuntr	046-v1.bin	\N	\N	1048576	c1f9c2db	bed95a76afefa46503a12e0f0a9787c4c967ac50	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tophuntr	046-v2.bin	\N	\N	1048576	56254a64	1cf049cb4c414419859d2c8ee714317a35a85251	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tophuntr	046-v3.bin	\N	\N	1048576	58113fb1	40972982a63c7adecef840f9882f4165da723ab6	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	tophuntr	046-v4.bin	\N	\N	1048576	4f54c187	63a76949301b83bdd44aa1a4462f642ab9ca3c0b	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	topland	\N	\N	\N	\N	\N	Top Landing (World) [sound only]	1988	Taito Corporation Japan	\N	\N	Taito AIR/B/Dual68k/H/F2 Systems	
game_rom	M1_v0.7.8a6	topland	b62-42.34	\N	\N	65536	389230e0	3a336987aad7bf4df658f924de4bbe6f0fff6d59	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	topland	b62-18.31	\N	\N	131072	3a4e687a	43f07fe19dec351e851defdf9c7810fb9df04736	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	topland	b62-17.5	\N	\N	131072	36447066	91c8cc4e99534b2d533895a342abb22766a20090	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	topland	b62-14.2	\N	\N	131072	617948a3	4660570fa6263c28cfae7ccdf154763cc6144896	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	topland	b62-15.3	\N	\N	131072	e35ffe81	f35afdd7cfd4c09907fb062beb5ae46c2286a381	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	topland	b62-16.4	\N	\N	131072	203a5c27	f6fc9322dea8d82bfec3be3fdc8616dc6adf666e	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	topland	b62-13.1	\N	\N	131072	b37dc3ea	198d4f828132316c624da998e49b1873b9886bf0	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	topskatr	\N	\N	\N	\N	\N	Top Skater [sound only]	1997	Sega	\N	\N	Sega Digital Sound Board (type 2)	
game_rom	M1_v0.7.8a6	topskatr	mpr-19760.2s	\N	\N	131072	2e41ca15	a302209bfe0f1491dff2da64b32cfaa13c3d3304	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	topskatr	mpr-19747.18s	\N	\N	4194304	6e895aaa	4c67c1e1d58a3034bbd711252a78689db9f235bb	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	topskatr	mpr-19748.20s	\N	\N	4194304	fcd74de3	fd4da4cf40c4342c6263cf22eee5968292a4d2c0	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	topskatr	mpr-19749.22s	\N	\N	4194304	842ca1eb	6ee6b2eb2ea400bdb9c0a9b4a126b4b86886e813	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	topskatr	mpr-19750.24s	\N	\N	4194304	cd95d0bf	40e2a2980c89049c339fefd48bf7aac79962cd2e	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	topspeed	\N	\N	\N	\N	\N	Top Speed (World) [sound only]	1987	Taito Corporation Japan	\N	\N	Top Speed	
game_rom	M1_v0.7.8a6	topspeed	b14-25.67	\N	\N	65536	9eab28ef	9a90f2c1881f4664d6d6241f3bc57faeaf150ffc	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	topspeed	b14-28.103	\N	\N	65536	df11d0ae	259e1e6cc7ab100bfdb60e3d7a6bb46acb6fe2ea	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	topspeed	b14-29.109	\N	\N	65536	7ad983e7	a3515caf93d6dab86de06ee52d6a13a456507dbe	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	toramich	\N	\N	tigeroad	tigeroad	\N	Tora-he no Michi (Japan) [sound only]	1987	Capcom	\N	\N	Tora-he no Michi	
game_rom	M1_v0.7.8a6	toramich	tr_05.bin	\N	\N	32768	3ebe6e62	6f5708b6ff8c91bc706f73300e0785f15999d570	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	toramich	tr_03.bin	\N	\N	65536	ea1807ef	f856e7b592c6df81586821284ea2220468c5ea9d	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	toryumon	\N	\N	\N	\N	\N	Toryumon [sound only]	1994	Sega	\N	\N	System 16 (sound type 3)	
game_rom	M1_v0.7.8a6	toryumon	epr17691.a13	\N	\N	32768	14205388	0b580d4ef52eab2d71541d44fbd32676b2277aa1	\N	\N	\N	\N	\N	\N	
