game	Hoot_20011002	1941	\N	\N	\N	\N	\N	1941 [sound only]	1990	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	nemo	nm_09.rom	\N	\N	65536	0f4b0581	2e5a2885149c632abfaf4292a1bf032c13c8da6c	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	nemo	nm_18.rom	\N	\N	131072	bab333d4	c1d0fb61ec46f17eb7edf69e1ad5ac91b5d51daa	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	nemo	nm_19.rom	\N	\N	131072	2650a0a8	e9e8cc1b27a2cb3e87124061fabcf42982f0611f	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	nightstr	\N	\N	\N	\N	\N	Night Striker [sound only]	1989	Taito Corporation	\N	\N	\N	
game_rom	Hoot_20011002	nightstr	b91-12.bin	\N	\N	524288	da77c7af	49662a69b83739e2e0209cabff83995a951383f4	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	nightstr	b91-13.bin	\N	\N	524288	8c7bf0f5	6e18531991225c24a9722c9fbe1af6ae6e9b866b	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	nightstr	b91-14.bin	\N	\N	524288	6bc314d3	ae3e9c6b853bab4ec81a6bd951b39a4bc883f456	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	nightstr	b91-41.bin	\N	\N	131072	2694bb42	ee770472655ac0ef55eeff04037457dbf6744e4f	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	ninjaw	\N	\N	\N	\N	\N	Ninja Warriors (Ninjauxo Ria Zu) [sound only]	1987	Taito Corporation	\N	\N	\N	
game_rom	Hoot_20011002	ninjaw	b31-08.19	\N	\N	524288	a0a1f87d	6b0f8094f3a3ef1ced76984e333e22a17c51af29	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	ninjaw	b31-09.18	\N	\N	524288	60a73382	0ddeb86fcd4d19a58e62bf8564f996d17e36e5c5	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	ninjaw	b31-10.17	\N	\N	524288	c6434aef	3348ce87882e3f668aa85bbb517975ec1fc9b6fd	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	ninjaw	b31-11.16	\N	\N	524288	8da531d4	525dfab0a0729e9fb6f0e4c8187bf4ce16321b20	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	ninjaw	b31_37.11	\N	\N	131072	0ca5799d	6485dde076d15b69b9ee65880dda57ad4f8d129c	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	nyanpani	\N	\N	\N	\N	\N	Nyannyanpanikku [sound only]	1988	Konami	\N	\N	\N	
game_rom	Hoot_20011002	nyanpani	712b01.1k	\N	\N	524288	f65b5d95	12701be68629844720cd16af857ce38ef06af61c	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	nyanpani	712e02.4h	\N	\N	32768	ba76f310	cc2164a9617493d1b3b8ac67430f9eb26fd987d2	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	ordyne	\N	\N	\N	\N	\N	Odyne (O Dain) [sound only]	1988	Namco	\N	\N	\N	
game_rom	Hoot_20011002	ordyne	or1_sd0.bin	\N	\N	131072	c41e5d22	7cb98d8068ddf92aadf0228b977df2ce1d866466	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	ordyne	or1_vo1.bin	\N	\N	524288	369e0bca	2a921bb373dd043bd7b2a30e5e46ec3b8b3b5c8d	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	ordyne	or1_vo2.bin	\N	\N	524288	9f4cd7b5	10941dd5ab3846c0cb2543655944eaec742f8f21	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	othunder	\N	\N	\N	\N	\N	Operation Thunderbolt [sound only]	1988	Taito Corporation	\N	\N	\N	
game_rom	Hoot_20011002	othunder	b67-07	\N	\N	524288	4f834357	f34705ce64870a8b24ec2639505079cc031fb719	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	othunder	b67-08	\N	\N	524288	458f41fb	acca7c95acd1ae7a1cc51fb7fe644ad6d00ff5ac	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	othunder	b67-13	\N	\N	65536	2936b4b1	39b41643464dd89e456ab6eb15a0ff0aef30afde	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	outrun	\N	\N	\N	\N	\N	Outrun [sound only]	1986	Sega	\N	\N	\N	
game_rom	Hoot_20011002	outrun	10187	\N	\N	32768	a10abaa9	01c8a819587a66d2ee4d255656e36fa0904377b0	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	outrun	10188	\N	\N	32768	bad30ad9	f70dd3a6362c314adef313b064102f7a250401c8	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	outrun	10189	\N	\N	32768	01366b54	f467a6b807694d5832a985f5381c170d24aaee4e	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	outrun	10190	\N	\N	32768	7cab70e2	a3c581d2b438630d0d4c39481dcfd85681c9f889	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	outrun	10191	\N	\N	32768	20a284ab	7c9027416d4122791ba53782fe2230cf02b7d506	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	outrun	10192	\N	\N	32768	770f1270	686bdf44d45c1d6002622f6658f037735382f3e0	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	outrun	10193	\N	\N	32768	bcd10dde	417ce1d7242884640c5b14f4db8ee57cde7d085d	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	outrunrs	\N	\N	\N	\N	\N	Outrunners [sound only]	1993	Sega	\N	\N	\N	
game_rom	Hoot_20011002	outrunrs	epr15550.bin	\N	\N	524288	0205d2ed	3475479e1a45fe96eefbe53842758898db7accbf	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	outrunrs	mpr15551.bin	\N	\N	2097152	4894bc73	351f5c03fb430fd87df915dfe3a377b5ada622c4	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	outrunrs	mpr15552.bin	\N	\N	2097152	1c4b5e73	50a8e9a200575a3522a51bf094aa0e87b90bb0a3	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	pacland	\N	\N	\N	\N	\N	Pac Land [sound only]	1984	Namco	\N	\N	\N	
game_rom	Hoot_20011002	pacland	pl1-7	\N	\N	8192	8c5becae	14d67136395c4c64472980a69648ce2d479ae67f	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	pacland	pl1-mcu.bin	\N	\N	4096	6ef08fb3	4842590d60035a0059b0899eb2d5f58ae72c2529	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	pacmania	\N	\N	\N	\N	\N	Pacmania [sound only]	1987	Namco	\N	\N	\N	
game_rom	Hoot_20011002	pacmania	ns1-mcu.bin	\N	\N	4096	ffb5c0bd	7a38c0cc2553c627f4ec507fb6e807cf7d537c02	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	pacmania	pm_snd0.bin	\N	\N	65536	c10370fa	f819a31075d3c8df5deee2919cd446b9e678c47d	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	pacmania	pm_snd1.bin	\N	\N	65536	f761ed5a	1487932c86a6094ed01d5032904fd7ae3435d09c	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	pacnpal	\N	\N	\N	\N	\N	Pac and Pal [sound only]	1983	Namco	\N	\N	\N	
game_rom	Hoot_20011002	pacnpal	pap14.cpu	\N	\N	4096	330e20de	5b23e5dcc38dc644a36efc8b03eba34cea540bea	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	pacnpal	papi3.cpu	\N	\N	256	83c31a98	8f1219a6c2b565ae9d8f72a9c277dc4bd38ec40f	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	panicbom	\N	\N	\N	\N	\N	Panic Bomber Man [sound only]	1994	Eighting / Hudson	\N	\N	\N	
game_rom	Hoot_20011002	panicbom	panic_m1.rom	\N	\N	131072	3cdf5d88	6d8365a946fbd0b7c7b896536322638d80f6a764	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	panicbom	panic_v1.rom	\N	\N	2097152	7fc86d2f	aa4234d22157060e0ba97a09c4e85c5276b74099	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	panicbom	panic_v2.rom	\N	\N	1048576	082adfc7	19c168e9a6cadcbed79033c320bcf3a45f846daf	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	parodius	\N	\N	\N	\N	\N	Parodius [sound only]	1990	Konami	\N	\N	\N	
game_rom	Hoot_20011002	parodius	955d04.bin	\N	\N	524288	e671491a	79e71cb5212eb7d14d3479b0734ea0270473a66d	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	parodius	955e03.bin	\N	\N	65536	940aa356	e7466f049be48861fd2d929eed786bd48782b5bb	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	phelios	\N	\N	\N	\N	\N	Phelios [sound only]	1988	Namco	\N	\N	\N	
game_rom	Hoot_20011002	phelios	ps1snd1.bin	\N	\N	131072	da694838	e1a20aedd18c49dcd12717e8ce479a5a441c10e6	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	phelios	psvoi-1.bin	\N	\N	524288	f67376ed	b54257aad34c6ad03d5b040e6a5dda94a48b6780	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	phozon	\N	\N	\N	\N	\N	Phozon [sound only]	1983	Namco	\N	\N	\N	
game_rom	Hoot_20011002	phozon	3b.rom	\N	\N	8192	5a4b3a79	2774681ea668403de31ea218d5df3ce64e3b9243	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	phozon	sound.prm	\N	\N	256	ad43688f	072f427453efb1dda8147da61804fff06e1bc4d5	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	pistoldm	\N	\N	\N	\N	\N	Pistol Daimyo no Bouken [sound only]	1990	Namco	\N	\N	\N	
game_rom	Hoot_20011002	pistoldm	ns1-mcu.bin	\N	\N	4096	ffb5c0bd	7a38c0cc2553c627f4ec507fb6e807cf7d537c02	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	pistoldm	pd1-snd0.bin	\N	\N	131072	026da54e	ffd710c57e59184b93eff864730123e672a0089d	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	pitfall2	\N	\N	\N	\N	\N	Pit Fall 2 [sound only]	1985	Sega	\N	\N	\N	
game_rom	Hoot_20011002	pitfall2	epr6462.120	\N	\N	8192	86bb9185	89add2e3784e8f5a20b895fb2c4466bdd6c34b0c	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	pnickj	\N	\N	\N	\N	\N	Pnickies [sound only]	1994	Compile (Capcom license)	\N	\N	\N	
game_rom	Hoot_20011002	pnickj	pnij17.bin	\N	\N	65536	e86f787a	de04cbe89c655faf04afe169bfd9913049ccc4a8	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	pnickj	pnij24.bin	\N	\N	131072	5092257d	95dc9d10940653b2fb37baf5c1ed27145b02104e	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	pnickj	pnij25.bin	\N	\N	131072	22109aaa	cf21e75674d81b2daae2083d02f9f4b6e52722c6	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	pulirula	\N	\N	\N	\N	\N	PuLiRuLa [sound only]	1991	Taito Corporation	\N	\N	\N	
game_rom	Hoot_20011002	pulirula	c98-01.rom	\N	\N	1048576	197f66f5	cc5d104033f9ab7d614afd47eeb61a22ef5714ea	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	pulirula	c98-14.rom	\N	\N	131072	a858e17c	4389f43035a94e776a25350a8989dcfdb3e4675a	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	punkshot	\N	\N	\N	\N	\N	Punk shot [sound only]	1990	Konami	\N	\N	\N	
game_rom	Hoot_20011002	punkshot	907d04.d3	\N	\N	524288	090feb5e	2394907b62ff0724c277642caf6375239249e2d7	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	punkshot	907f01.e8	\N	\N	32768	f040c484	f76a739cacc0aba98a5bf85a48c81cef0d9bbfb4	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	puzzbobb	\N	\N	\N	\N	\N	Puzzle Bobble [sound only]	1994	Taito Corporation	\N	\N	\N	
game_rom	Hoot_20011002	puzzbobb	puzzb_m1.rom	\N	\N	65536	129e6054	4edd18c44759e7a140705f1544413c649131c551	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	puzzbobb	puzzb_v1.rom	\N	\N	1048576	2ced86df	d6b73d1f31efbd74fb745200d4dade5f80b71541	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	puzzbobb	puzzb_v2.rom	\N	\N	1048576	970851ab	6c9b04e9cc6b92133f1154e5bdd9d38d8ef050a7	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	puzzbobb	puzzb_v3.rom	\N	\N	1048576	0840cbc4	1adbd7aef44fa80832f63dfb8efdf69fd7256a57	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	puzzbobb	puzzb_v4.rom	\N	\N	524288	0a548948	e1e4afd17811cb60401c14fbcf0465035165f4fb	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	pwrdrift	\N	\N	\N	\N	\N	Power Drift [sound only]	1988	Sega	\N	\N	\N	
game_rom	Hoot_20011002	pwrdrift	pd11755.bin	\N	\N	131072	c2db1244	c98fe17c9f04a639a862cc2a86fab17d1f5d025c	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	pwrdrift	pd11756.bin	\N	\N	131072	12e43f8a	0f9a11ba6b7c1a352daa1146a01ce147945e91e4	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	pwrdrift	pd11895.bin	\N	\N	131072	ee99a6fd	4444826e751d9186e6d46b081e47cd99ee3cf853	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	pwrdrift	pd11896.bin	\N	\N	131072	4bebc015	307022ea1c1ee87c9ef3782526888c48c3c69fd2	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	pwrdrift	pd11897.bin	\N	\N	131072	4463cb95	e86fd4611cf83fe72d59950a60fc8c3a7381a1c7	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	pwrdrift	pd11898.bin	\N	\N	131072	5d19d767	d335cd3ef57c75e388df04b04fc3e2881a3902cf	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	pwrdrift	pd11899.bin	\N	\N	65536	ed9fa889	25d1a069254b34c31d8ee82d301ada895e8dc391	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	qgakumon	\N	\N	\N	\N	\N	Quiz gakumon no susume [sound only]	1993	Konami	\N	\N	\N	
game_rom	Hoot_20011002	qgakumon	248a01.2f	\N	\N	65536	a8a41cc6	ad0d73bbdaacb8d5d0c7971ec4357eec665ee7cf	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	qgakumon	248a06.1d	\N	\N	2097152	0fba1def	f2ba23213effd06f14c7a179acea974c78c2198f	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	qjinsei	\N	\N	\N	\N	\N	Quiz Jinsei Gekijoh [sound only]	1992	Taito Corporation	\N	\N	\N	
game_rom	Hoot_20011002	qjinsei	d48-05	\N	\N	524288	3fefd058	338c35c3a086041d28708d4b17e208b590c926d5	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	qjinsei	d48-11	\N	\N	65536	656c5b54	650bcc5920838db5c6613bcf30468d6e296ea017	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	qndream	\N	\N	\N	\N	\N	Quiznanairodreams [sound only]	1996	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	qndream	tqz.01	\N	\N	131072	e9ce9d0a	29f2987788e914e0a55f9130a99e411d15a7cc9b	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	qndream	tqz.11	\N	\N	2097152	78e7884f	82fbbf704ac4bc0e0e7a6f407686861aa3693c23	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	qndream	tqz.12	\N	\N	2097152	2e049b13	e026f444b905e679e8240c7dd371658c4a3fd713	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	quartet	\N	\N	\N	\N	\N	Quartet [sound only]	1986	Sega	\N	\N	\N	
game_rom	Hoot_20011002	quartet	epr-7464.1b	\N	\N	32768	9f291306	96a09542a863ccf2ded43e2df6f913722b3f97b1	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	quarth	\N	\N	\N	\N	\N	Quarth [sound only]	1989	Konami	\N	\N	\N	
game_rom	Hoot_20011002	quarth	973d01.g6	\N	\N	32768	eeee9d92	6c6c324b1f6f4fba0aa12e0d1fc5dbab133ef669	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	quester	\N	\N	\N	\N	\N	Quester [sound only]	1987	Namco	\N	\N	\N	
game_rom	Hoot_20011002	quester	ns1-mcu.bin	\N	\N	4096	ffb5c0bd	7a38c0cc2553c627f4ec507fb6e807cf7d537c02	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	quester	qs1_s0.bin	\N	\N	65536	c2ef3af9	aa0766aad450660e216d817e41e030141e8d1f48	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	railchaj	\N	\N	\N	\N	\N	Rail Chase [sound only]	1991	Sega	\N	\N	\N	
game_rom	Hoot_20011002	railchaj	ic102.bin	\N	\N	65536	7cc3b543	c5e6a2dca891d0b6528e6d66ccd18b24ed4a9464	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	railchaj	ic105.bin	\N	\N	524288	76095538	aab830e3675116c475fe69e0e991118c045b131b	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	railchaj	ic106.bin	\N	\N	524288	f604c270	02023786fec2f2702c2f19f51aff5b7e4928ae91	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	railchaj	ic107.bin	\N	\N	524288	345f5a41	d414c3485ba31863c2b36282756709e06a41d262	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	raimais	\N	\N	\N	\N	\N	Raimais [sound only]	1988	Taito Corporation	\N	\N	\N	
game_rom	Hoot_20011002	raimais	b36-03.bin	\N	\N	524288	96166516	a6748218188cbd1b037f6c0845416665c0d55a7b	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	raimais	b36-06.bin	\N	\N	65536	29bbc4f8	39a68729c6180c5f6cdf604e692018e7d6bf5591	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	rastsag2	\N	\N	\N	\N	\N	Rastan Saga 2 [sound only]	1988	Taito Corporation	\N	\N	\N	
game_rom	Hoot_20011002	rastsag2	b81-01.bin	\N	\N	524288	b33f796b	6cdb32f56283acdf20eb46a1e658e3bd7c97978c	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	rastsag2	b81-02.bin	\N	\N	524288	20ec3b86	fcdcc7f0a09feb824d8d73b1af0aae7ec30fd1ed	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	rastsag2	b81-11.bin	\N	\N	65536	3704bf09	a0a37b23e3df482c5f5aa43825345ea8affbba34	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	regulus	\N	\N	\N	\N	\N	Regulus [sound only]	1983	Sega	\N	\N	\N	
game_rom	Hoot_20011002	regulus	epr5652.3	\N	\N	8192	74edcb98	bc181c73a6009ca723e715650adb920b77bd311c	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	ringdest	\N	\N	\N	\N	\N	Super Muscle Bomber [sound only]	1994	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	ringdest	smb.01	\N	\N	131072	0abc229a	967f574e6358dfc1b01e6a4a4df1a8f34eb3d814	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	ringdest	smb.02	\N	\N	131072	d051679a	583c2521a30db1740d95dd94a38751fbeff3aae5	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	ringdest	smb.11	\N	\N	2097152	c56935f9	ca1705e48e31ddc13505e6297bceca2bec1bb209	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	ringdest	smb.12	\N	\N	2097152	955b0782	ee09500e7b44e923126533613bfe26cdabc7ab5f	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	roishtar	\N	\N	\N	\N	\N	The Return Of Ishtar [sound only]	1986	Namco	\N	\N	\N	
game_rom	Hoot_20011002	roishtar	ri1-4.6b	\N	\N	32768	552172b8	18b35cb116baba362831fc046241895198b07a53	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	roishtar	rt1-mcu.bin	\N	\N	4096	6ef08fb3	4842590d60035a0059b0899eb2d5f58ae72c2529	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	rompers	\N	\N	\N	\N	\N	Rompers [sound only]	1989	Namco	\N	\N	\N	
game_rom	Hoot_20011002	rompers	ns1-mcu.bin	\N	\N	4096	ffb5c0bd	7a38c0cc2553c627f4ec507fb6e807cf7d537c02	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	rompers	rp1-snd0.bin	\N	\N	65536	c7c8d649	a60a58b4fc8e3f65e4e686b51fd2c17c9d74c444	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	rthund2	\N	\N	\N	\N	\N	Rolling Thunder 2 [sound only]	1990	Namco	\N	\N	\N	
game_rom	Hoot_20011002	rthund2	snd0.bin	\N	\N	131072	55b7562a	47b12206ec4a709769351f3f5b4a1c5ebb98b416	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	rthund2	snd1.bin	\N	\N	131072	00445a4f	2e136e3c38e4a1b69f80a19e07555f3269b7beb1	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	rthund2	voi1.bin	\N	\N	524288	e42027cd	fa3a81118c7f112289c27023236dec2e9cbc78b5	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	rthund2	voi2.bin	\N	\N	524288	0c4c2b66	7723cbef755439a66d026015596fe1547ccd65b1	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	rthunder	\N	\N	\N	\N	\N	Rolling Thunder [sound only]	1986	Namco	\N	\N	\N	
game_rom	Hoot_20011002	rthunder	rt1-4.6b	\N	\N	32768	00cf293f	bc441d21bb4c54a01d2393fbe99201714cd4439d	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	rthunder	rt1-mcu.bin	\N	\N	4096	6ef08fb3	4842590d60035a0059b0899eb2d5f58ae72c2529	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	sala2	\N	\N	\N	\N	\N	Salamander 2 [sound only]	1995	Konami	\N	\N	\N	
game_rom	Hoot_20011002	sala2	521a04.9c	\N	\N	65536	efddca7a	ac6b45044b6abeb2455ec21a61322185bf1c7219	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	sala2	521a05.7c	\N	\N	65536	51a3af2c	94d220ae619d53747bd3e762000ed59cf1b4d305	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	sala2	521a12.9g	\N	\N	2097152	66614d3b	e1e5ebe546bced6ab74b0af500acf0f3308902a4	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	sala2	521a13.7g	\N	\N	1048576	c3322475	1774524ff031e0c4a7f3432810e968d37f9c6331	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	salamand	\N	\N	\N	\N	\N	Salamander [sound only]	1986	Konami	\N	\N	\N	
game_rom	Hoot_20011002	salamand	10a.bin	\N	\N	131072	09fe0632	4c3b29c623d70bbe8a938a0beb4638912c46fb6a	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	salamand	11j.bin	\N	\N	32768	5020972c	04c752c3b7fd850a8a51ecd230b39e6edde9dd7e	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	samsho	\N	\N	\N	\N	\N	Samurai Shodown [sound only]	1993	SNK	\N	\N	\N	
game_rom	Hoot_20011002	samsho	samsh_m1.rom	\N	\N	131072	95170640	125c502db0693e8d11cef619b090081c14a9a300	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	samsho	samsh_v1.rom	\N	\N	2097152	37f78a9b	6279b497d12fa90b49ab5ac3aae20fb302ec8b81	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	samsho	samsh_v2.rom	\N	\N	2097152	568b20cf	61af858685472a1fad608e230cccc2b108509ddb	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	samsho2	\N	\N	\N	\N	\N	Samurai Shodown 2 [sound only]	1994	SNK	\N	\N	\N	
game_rom	Hoot_20011002	samsho2	sams2_m1.rom	\N	\N	131072	56675098	90429fc40d056d480d0e2bbefbc691d9fa260fc4	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	samsho2	sams2_v1.rom	\N	\N	2097152	37703f91	a373ebef4c33ba1d8340e826981a58769aada238	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	samsho2	sams2_v2.rom	\N	\N	2097152	0142bde8	0be6c53acac44802bf70b6925452f70289a139d9	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	samsho2	sams2_v3.rom	\N	\N	2097152	d07fa5ca	1da7f081f8b8fc86a91feacf900f573218d82676	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	samsho2	sams2_v4.rom	\N	\N	1048576	24aab4bb	10ee4c5b3579865b93dcc1e4079963276aa700a6	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	sbm	\N	\N	\N	\N	\N	Sonic Blastman [sound only]	1990	Taito Corporation	\N	\N	\N	
game_rom	Hoot_20011002	sbm	c69-03.36	\N	\N	524288	63e6b6e7	72574ca7505eee15fabc4996f253505d9dd65898	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	sbm	c69-23.28	\N	\N	65536	b2fce13e	ecdb08482af80fd04cc8b67157e11ca61ce06437	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	scontra	\N	\N	\N	\N	\N	Super Contra [sound only]	1988	Konami	\N	\N	\N	
game_rom	Hoot_20011002	scontra	775-a04a.bin	\N	\N	65536	7efb2e0f	fb350a056b547fe4f981bc211e2f9518ae5a3499	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	scontra	775-a04b.bin	\N	\N	65536	f41a2b33	dffa06360b6032f7370fe72698aacad4d8779472	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	scontra	775-a04c.bin	\N	\N	65536	e4e58f14	23dcb4dfa9a44115d1b730d9efcc314801b811c7	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	scontra	775-a04d.bin	\N	\N	65536	d46736f6	586e914a35d3d7a71cccec66ca45a5bbbb9e504b	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	scontra	775-c01.bin	\N	\N	32768	0ced785a	1eebe005a968fbaac595c168499107e34763976c	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	scontra	775-f04e.bin	\N	\N	65536	fbf7e363	53578eb7dab8f723439dc12eefade3edb027c148	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	scontra	775-f04f.bin	\N	\N	65536	b031ef2d	0124fe15871c3972ef1e2dbaf53d17668c1dccfd	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	scontra	775-f04g.bin	\N	\N	65536	ee107bbb	e21de761a0dfd3811ddcbc33d8868479010e86d0	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	scontra	775-f04h.bin	\N	\N	65536	fb0fab46	fcbf904f7cf4d265352dc73ed228390b29784aad	\N	\N	\N	\N	\N	\N	
